,Topic Number,KTG
34,34,"kg, bubba, awesomlook, like, time, get, one, congratcongrat, babi, littl, year, go, kid, good, day, work, thing, old, month, make, say, much, daughter, would, way, sleep, syndrom, know, son, realli, need, toy, spur, wife, take, never, week, born, dad, down"
35,35,"eat, food, like, make, cook, meal, chees, ice, dinner, egg, peanut, fruit, veggi, tri, chicken, get, cream, meat, good, tast, butter, thing, give, one, breakfast, banana, appl, add, plate, potato, frozen, rice, hot, love, sauc, ate, pot, use, bean, pizza"
36,36,"sick, get, immun, shot, flu, kid, cough, infect, cold, nose, hand, daycar, fever, got, year, system, mouth, snot, tantrum, time, pertussi, like, bug, pac, ear, one, throw, herd, germ, bad, old, whoop, ill, viru, take, diseas, whine, daughter, runni, antibiot"
37,37,"tooth, scout, brush, teeth, dentist, barrel, toothbrush, eagl, troop, chipotl, decay, width, avatar, fling, bsa, rightuse, caviti, audi, scarlet, jj, patriot, playtex, dreami, kidnapp, ventur, shortcut, like, chang, get, one, stephen, pull, chip, go, kid, gum, merit, son, would, counter"
38,38,"wisconsin, vicin, east, iowa, south, rethink, bro, northern, awesom, zomg, applic, v, youtub, holi, odditi, watch, gdata, life, crap, kid, keep, nice, like, dad, th, recycl, littl, see, fb, get, dude, relev, cant, time, everi, would, cute, pic, go, man"
39,39,"candi, ski, bummer, aug, ruffl, hmmm, wallpap, poof, fad, ohhhh, ai, pigeon, nt, hella, manhattan, camo, buddha, trampolin, timerealli, kiddefinit, pendant, onelove, fro, rules, floss, secretli, corps, oldson, guygood, scof, checkout, momma, bye, ki, rudimentari, tho, poopin, herp, headshot, lifegood"
40,40,"ginger, leash, shutter, cupcak, cracker, korean, yoghurt, crust, willow, firefli, jelli, cherri, chewi, mandarin, machineri, promin, flee, coup, taint, eater, edibl, oreo, wheat, greas, tranquil, vege, roomba, quinoa, rightsure, yum, cuter, poison, asian, bland, ivi, displeasur, lover, misfit, rightthink, amus"
41,41,"smile, laugh, cute, face, lt, cutest, giggl, melt, grin, ador, priceless, d, wait, made, crack, ahh, fluffi, photobucket, happi, smirk, littl, photogen, express, make, best, heart, coo, awesom, love, first, look, ab, na, joy, undiagnos, arab, oh, like, chines, babi"
42,42,"charli, carter, bu, profil, kart, lolthink, broadcast, resembl, pavement, judo, brio, daisi, intersect, nanny, getgot, crude, thailand, inanim, facethank, pg, spew, elvi, nyc, like, journalist, school, kid, would, look, see, after, go, get, hobbit, train, one, acid, good, famili, day"
43,43,"milk, formula, feed, bottl, breast, breastfeed, pump, babi, wife, oz, nippl, tri, lactat, consult, fed, mom, get, boob, use, supplement, latch, breastfe, one, nurs, produc, breastmilk, enough, month, like, also, suppli, day, breastf, eat, would, weight, much, differ, switch, drink"
44,44,"swaddl, roll, blanket, stomach, babi, back, tummi, arm, like, cold, pediatrician, sid, reflux, side, get, also, head, sleep, infant, tylenol, doctor, one, seem, warm, temperatur, caus, breath, fever, month, use, littl, acid, sack, pain, teeth, wrap, keep, temp, help, leg"
45,45,"school, teacher, class, grade, kid, preschool, daycar, kindergarten, public, math, student, learn, pre, parent, bulli, social, classroom, elementari, age, get, homework, like, bitten, child, year, high, educ, start, scienc, one, go, would, suburb, teach, circums, yoda, seem, homeschool, son, group"
46,46,"jacket, vest, cuti, cosmo, mr, logan, paddl, cano, wolverin, entireti, tru, noooo, colin, pout, thankhey, hey, attir, boston, swimmer, that, sweetest, floatat, e, aw, good, rightthank, babi, o, know, boat, xmen, life, congrat, pi, think, man, world, mate, congratul, one"
47,47,"shark, haircut, ant, squishi, beta, averi, gold, raid, lemm, ef, globe, dub, headband, particl, tide, ninja, polo, river, vi, av, rum, bravo, wan, cowboy, buzz, amateur, luckcongrat, copyright, waaay, chug, kidrealli, cutoff, te, mischiev, desktop, rascal, mull, throttl, coolest, hideou"
48,48,"vaccin, wiki, en, wikipedia, org, pox, chicken, nsfw, booster, diseas, index, shingl, lullaby, youtu, shot, zeppelin, acoust, varicella, anti, of, rendit, amp, banjo, cutter, immun, tk, crab, album, track, prevent, in, r, link, version, ment, v, data, children, one, html"
49,49,"clone, semen, thankawesom, reschedul, eli, farmer, mexican, shiz, gush, shitwatch, soften, induct, get, induc, go, spici, babi, like, make, tri, prostaglandin, take, market, day, also, bleach, would, one, good, use, eat, kid, first, son, want, realli, start, smash, wife, time"
50,50,"kid, like, get, think, thing, one, would, go, make, year, peopl, old, parent, say, want, time, know, good, daughter, see, realli, look, way, someth, play, son, also, littl, love, even, much, let, never, got, around, actual, use, dad, right, lot"
51,51,"song, music, sing, danc, listen, youtub, love, guitar, v, band, rock, cd, album, drum, piano, lyric, favorit, instrument, tune, watch, play, bob, metal, theme, mickey, classic, along, mous, lullabi, calm, playlist, daughter, radio, sang, giraff, singer, bikini, clubhous, hear, like"
52,52,"smoke, weed, cigarett, drunken, vodka, layout, error, tampon, guinea, russia, sprite, feedback, wolf, smarti, skeptic, wang, code, larva, yall, faq, liquor, robert, chiropract, sou, link, report, subject, mistak, marijuana, rap, illog, fil, to, ineffect, suggest, like, pot, messag, read, get"
53,53,"princess, disney, captur, eyebrow, toronto, bald, doin, gopro, dapper, survey, crawl, princ, lip, accent, disneyland, zoo, ethan, goblin, trooper, lolthank, ballerina, patton, machet, war, sutur, soldier, manlook, star, charact, bradi, oswalt, rapunzel, walk, sith, mickey, vimeo, backlove, townhous, que, thoughhaha"
54,54,"behavior, tri, get, parent, someth, tell, know, kid, say, like, understand, punish, want, child, thing, way, make, attent, give, time, talk, bad, go, think, tantrum, good, spank, hurt, let, reward, hit, need, use, stop, yell, work, wrong, act, learn, disciplin"
55,55,"walk, door, put, climb, wall, get, crawl, one, like, lock, feet, use, top, gate, floor, stand, could, thing, step, around, hous, open, fall, stair, pull, kid, look, slide, would, go, toddler, make, shoe, tri, keep, side, hand, foot, leg, move"
56,56,"weight, eat, lb, exercis, gym, pound, diet, fat, calori, gain, run, cooki, snack, weigh, food, healthi, workout, walk, get, lift, lose, fit, bumbo, shape, lost, bodi, back, sugar, muscl, work, like, energi, start, lunch, drink, carb, mile, soda, day, around"
57,57,"resal, franchis, landscap, shuttl, boulder, height, kong, chicco, donkey, keyfit, amish, tall, convert, boulevard, lb, afro, maximum, specifi, fabul, cosco, graco, outgrow, ff, circu, angl, britax, diddi, base, seat, car, face, well, instal, rf, one, age, exceed, evenflo, forward, rear"
58,58,"old, month, year, littl, one, daughter, son, like, love, first, girl, boy, got, get, look, birthday, start, two, babi, time, turn, day, twin, kid, week, wait, big, mine, go, cute, last, still, brother, awesom, pictur, ago, happi, man, think, well"
59,59,"pay, money, work, cost, insur, paid, job, daycar, year, bill, save, k, compani, get, care, would, tax, expens, month, plan, employ, state, cover, colleg, week, us, school, per, use, one, afford, free, fund, financi, e, privat, program, account, provid, nanni"
60,60,"time, day, kid, get, work, home, go, year, make, like, month, wife, one, dad, love, much, take, thing, week, old, feel, son, want, good, everi, first, realli, start, daughter, littl, see, life, job, come, two, even, still, stay, back, know"
61,61,"leav, comic, patern, bite, vacat, fmla, unpaid, matern, paid, week, daddi, spotless, yer, rabbit, elsa, comet, leave, tick, judi, richard, gogreat, took, nixon, compani, take, employ, encapsul, california, booti, cheeto, work, spectacular, allow, gal, time, use, retail, back, get, sincer"
62,62,"ex, child, father, custodi, mother, court, lawyer, adopt, divorc, relationship, right, parent, get, legal, marri, daughter, judg, abus, fight, would, law, support, mom, state, best, famili, visit, go, keep, file, situat, want, good, order, attorney, case, biolog, make, need, kid"
63,63,"dad, mom, wife, father, men, like, women, parent, peopl, kid, think, get, say, mother, take, time, would, want, care, husband, one, chang, work, go, famili, know, make, home, woman, daughter, thing, way, need, feel, see, even, ask, fuck, guy, stay"
64,64,"cup, water, bottl, drink, sippi, juic, sip, milk, coffe, itchi, dilut, dab, prune, glass, duct, titti, chap, ty, tippe, spout, liquid, cap, sugar, rockin, nuk, constip, calcium, hydrat, pepsi, peach, hot, lid, pouch, mixtur, munchkin, flow, use, fiber, half, plastic"
